State,FY,COLI,EMI,HECA,ARRA,StateSupport,FinancialAid,NetTuition,FTEStudents,state_abbrev,state_fips,stateid
CONNECTICUT,2018,1.195867,1.015153,1,0,1065906129,30324331,1087564847,86008,CT,9,7
DELAWARE,2010,1.003328,1.297037,.854095,15873000,240923460,13845700,426590796,33570,DE,10,8
DELAWARE,2011,1.003328,1.297037,.872126,0,210946000,13845700,468051904,34648,DE,10,8
DELAWARE,2012,1.003328,1.297037,.888038,0,211828166,13845700,533000003,34672,DE,10,8
DELAWARE,2013,1.003328,1.297037,.904348,0,214503897,13845700,559488627,34715,DE,10,8
DELAWARE,2014,1.003328,1.297037,.9232359999999999,0,225935378,14086100,593521558,35657,DE,10,8
DELAWARE,2015,1.003328,1.297037,.938934,0,224299977,14086100,616104774,36742,DE,10,8
DELAWARE,2016,1.003328,1.297037,.9554,0,228259611,14086100,637053033,36472,DE,10,8
DELAWARE,2017,1.003328,1.297037,.97698,0,233499441,14086100,632084404,35554,DE,10,8
DELAWARE,2018,1.003328,1.297037,1,0,236213314,14086100,683250735,36073,DE,10,8
FLORIDA,2010,.972367,1.042525,.854095,292805162,3773762288,507755616,1210873504,607246,FL,12,9
FLORIDA,2011,.972367,1.042525,.872126,350463938,3933622748,501240081,1556597170,636320,FL,12,9
FLORIDA,2012,.972367,1.042525,.888038,0,3456853469,445822113,1771336975,641446,FL,12,9
FLORIDA,2013,.972367,1.042525,.904348,0,3181324499,410728456,1913833608,619179,FL,12,9
FLORIDA,2014,.972367,1.042525,.9232359999999999,0,3749161403,391105181,1913789975,608226,FL,12,9
FLORIDA,2015,.972367,1.042525,.938934,0,4000482990,367211627,1939616348,601198,FL,12,9
FLORIDA,2016,.972367,1.042525,.9554,0,4146151091,341456281,1962986686,598660,FL,12,9
FLORIDA,2017,.972367,1.042525,.97698,0,4337244927,329306772,1953620330,597293,FL,12,9
FLORIDA,2018,.972367,1.042525,1,0,4805835609,616109047,1705810947,602675,FL,12,9
GEORGIA,2010,.8969,1.042975,.854095,355121875,2901920841,510938311,886890347,370732.1,GA,13,10
GEORGIA,2011,.8969,1.042975,.872126,57298847,2886340235,691563146,885171541,385615,GA,13,10
GEORGIA,2012,.8969,1.042975,.888038,74232912,2640046563,484340966,1293462054,379004,GA,13,10
GEORGIA,2013,.8969,1.042975,.904348,0,2562406525,460232211,1460776556,354989,GA,13,10
GEORGIA,2014,.8969,1.042975,.9232359999999999,0,2726441657,485686832,1496085224,347733,GA,13,10
GEORGIA,2015,.8969,1.042975,.938934,0,2838097073,521603494,1576485793,344325,GA,13,10
GEORGIA,2016,.8969,1.042975,.9554,0,2977800269,557364587,1668872288,345645,GA,13,10
GEORGIA,2017,.8969,1.042975,.97698,0,3138141307,577645048,1700102222,347479,GA,13,10
GEORGIA,2018,.8969,1.042975,1,0,3371580564,612316218,1695862936,350448,GA,13,10
HAWAII,2010,1.280042,1.053463,.854095,32000000,566803508,3284899,183970252,39857,HI,15,11
HAWAII,2011,1.280042,1.053463,.872126,22000240,522836888,3263583,199913824,40743,HI,15,11
HAWAII,2012,1.280042,1.053463,.888038,0,521269576,3773784,215871222,40883,HI,15,11
HAWAII,2013,1.280042,1.053463,.904348,0,525041288,3205898,221520570,41094,HI,15,11
HAWAII,2014,1.280042,1.053463,.9232359999999999,0,529249940,3783812,229053322,40436,HI,15,11
HAWAII,2015,1.280042,1.053463,.938934,0,572296639,3589722,237144801,39444,HI,15,11
HAWAII,2016,1.280042,1.053463,.9554,0,602785489,3264920,238218155,38414,HI,15,11
HAWAII,2017,1.280042,1.053463,.97698,0,666315453,3284989,236930173,36827,HI,15,11
HAWAII,2018,1.280042,1.053463,1,0,715279454,3000000,230888656,36030,HI,15,11
IDAHO,2010,.891095,.9691959999999999,.854095,17683900,368255331,5434030,126922970,49251,ID,16,12
IDAHO,2011,.891095,.9691959999999999,.872126,4766900,346956483,5525880,152415120,53201,ID,16,12
IDAHO,2012,.891095,.9691959999999999,.888038,0,332453023,5446720,187317180,58980,ID,16,12
IDAHO,2013,.891095,.9691959999999999,.904348,0,358985688,5578190,208839210,57837,ID,16,12
IDAHO,2014,.891095,.9691959999999999,.9232359999999999,0,373584967,5664270,217731330,56177,ID,16,12
IDAHO,2015,.891095,.9691959999999999,.938934,0,400977879,6246880,234285720,54102,ID,16,12
IDAHO,2016,.891095,.9691959999999999,.9554,0,418443386,6122580,218937220,52744,ID,16,12
IDAHO,2017,.891095,.9691959999999999,.97698,0,459125003,10531200,214572174,53116,ID,16,12
IDAHO,2018,.891095,.9691959999999999,1,0,477603913,10335713,206478596,53570,ID,16,12
ILLINOIS,2010,1.048802,.952269,.854095,93936400,3440574946,207479032,1789555277,391925.9,IL,17,13
ILLINOIS,2011,1.048802,.952269,.872126,0,3340197079,200286417,1947496354,393312.62,IL,17,13
ILLINOIS,2012,1.048802,.952269,.888038,0,3568336636,222532986,2027827593,384614.72,IL,17,13
ILLINOIS,2013,1.048802,.952269,.904348,0,4061936129,208831943,2203354191,373403,IL,17,13
ILLINOIS,2014,1.048802,.952269,.9232359999999999,0,4055752969,201913006,2252844387,362508,IL,17,13
ILLINOIS,2015,1.048802,.952269,.938934,0,4129340132,193025555,2354393292,351917,IL,17,13
ILLINOIS,2016,1.048802,.952269,.9554,0,3147287343,169606147,2415732385,341272,IL,17,13
ILLINOIS,2017,1.048802,.952269,.97698,0,4295524938,190205801,2405693694,326452,IL,17,13
ILLINOIS,2018,1.048802,.952269,1,0,3927579131,184192038,2416317158,311101,IL,17,13
INDIANA,2010,.8843220000000001,1.072462,.854095,33894065,1532015744,167111649,1660671841,256596,IN,18,14
INDIANA,2011,.8843220000000001,1.072462,.872126,0,1499753543,183347715,1777980202,263326,IN,18,14
INDIANA,2012,.8843220000000001,1.072462,.888038,0,1476936515,202957564,2042096696,247019,IN,18,14
INDIANA,2013,.8843220000000001,1.072462,.904348,0,1484383012,204938342,2087951243,238011,IN,18,14
INDIANA,2014,.8843220000000001,1.072462,.9232359999999999,0,1588282488,227048235,2092348604,232357,IN,18,14
INDIANA,2015,.8843220000000001,1.072462,.938934,0,1567098340,228117761,2154413654,229534,IN,18,14
INDIANA,2016,.8843220000000001,1.072462,.9554,0,1657920986,235003288,2205821618,224508,IN,18,14
INDIANA,2017,.8843220000000001,1.072462,.97698,0,1663080002,240609042,2235211001,222151,IN,18,14
INDIANA,2018,.8843220000000001,1.072462,1,0,1666915018,272095653,2248757808,220665,IN,18,14
IOWA,2010,.88916,1.082589,.854095,105880000,815792362,9082372,843076558,127128,IA,19,15
IOWA,2011,.88916,1.082589,.872126,0,709388497,9645239,938365941,132744,IA,19,15
IOWA,2012,.88916,1.082589,.888038,0,692227822,10511383,994379661,132423,IA,19,15
IOWA,2013,.88916,1.082589,.904348,0,738780271,15809810,1023528924,129669,IA,19,15
IOWA,2014,.88916,1.082589,.9232359999999999,0,773118598,13109810,1067878653,127407,IA,19,15
IOWA,2015,.88916,1.082589,.938934,0,796651983,13109810,1098980511,124883,IA,19,15
IOWA,2016,.88916,1.082589,.9554,0,798278638,10645329,1130329849,126165,IA,19,15
IOWA,2017,.88916,1.082589,.97698,0,778087185,7645096,1186507395,126555,IA,19,15
IOWA,2018,.88916,1.082589,1,0,756110086,7691039,1226023374,125333,IA,19,15
KANSAS,2010,.894965,1.052134,.854095,40000000,783237815,12251789,641365748,133126,KS,20,16
KANSAS,2011,.894965,1.052134,.872126,40423534,784495910,10874182,698588789,135901,KS,20,16
KANSAS,2012,.894965,1.052134,.888038,0,741965529,11723857,743939798,135916,KS,20,16
KANSAS,2013,.894965,1.052134,.904348,0,784521147,11387695,760209803,134175,KS,20,16
KANSAS,2014,.894965,1.052134,.9232359999999999,0,760338749,12232206,802741514,131787,KS,20,16
KANSAS,2015,.894965,1.052134,.938934,0,792373077,12758487,834676916,129874,KS,20,16
KANSAS,2016,.894965,1.052134,.9554,0,755089746,11178754,849493435,127329,KS,20,16
KANSAS,2017,.894965,1.052134,.97698,0,758925447,10984475,881522812,126156,KS,20,16
KANSAS,2018,.894965,1.052134,1,0,761832046,11428997,885099178,124958,KS,20,16
KENTUCKY,2010,.8843220000000001,1.020498,.854095,70000000,1192819872,129573475,738040278,154247,KY,21,17
KENTUCKY,2011,.8843220000000001,1.020498,.872126,57272600,1192790472,126634264,804759253,159806,KY,21,17
KENTUCKY,2012,.8843220000000001,1.020498,.888038,0,1145306069,129700206,850582303,159306,KY,21,17
KENTUCKY,2013,.8843220000000001,1.020498,.904348,0,1099824755,131773755,876249023,155586,KY,21,17
KENTUCKY,2014,.8843220000000001,1.020498,.9232359999999999,0,1104770827,140077255,907675906,154782,KY,21,17
KENTUCKY,2015,.8843220000000001,1.020498,.938934,0,1091570808,143800196,961022034,152317,KY,21,17
KENTUCKY,2016,.8843220000000001,1.020498,.9554,0,1093517976,142155626,973716968,149314,KY,21,17
KENTUCKY,2017,.8843220000000001,1.020498,.97698,0,1077527037,166350237,985434882,147167,KY,21,17
KENTUCKY,2018,.8843220000000001,1.020498,1,0,1081683788,171747287,977289010,144747,KY,21,17
LOUISIANA,2010,.905608,1.003387,.854095,189700000,1479727222,145951890,444945951,178931,LA,22,18
LOUISIANA,2011,.905608,1.003387,.872126,289592480,1568350033,156574790,465338841,183633,LA,22,18
LOUISIANA,2012,.905608,1.003387,.888038,0,1221589526,176248337,615353756,181589.28,LA,22,18
LOUISIANA,2013,.905608,1.003387,.904348,0,1157599416,200726513,672197554,174552,LA,22,18
LOUISIANA,2014,.905608,1.003387,.9232359999999999,0,1108143129,229524511,701818026,168001.19,LA,22,18
LOUISIANA,2015,.905608,1.003387,.938934,0,1101847943,253674935,739370138,165329,LA,22,18
LOUISIANA,2016,.905608,1.003387,.9554,0,1159382504,290706926,690371506,167896.09,LA,22,18
LOUISIANA,2017,.905608,1.003387,.97698,0,1068208155,211637581,824866951,160056.83,LA,22,18
LOUISIANA,2018,.905608,1.003387,1,0,1136817513,295415635,784591268,161670.45,LA,22,18
MAINE,2010,1.104919,.918593,.854095,10556853,266226696,7370852,292863899,37517,ME,23,19
MAINE,2011,1.104919,.918593,.872126,10578070,273177429,6818067,305726554,38284,ME,23,19
MAINE,2012,1.104919,.918593,.888038,1731508,267337778,6884067,313256197,37897,ME,23,19
MAINE,2013,1.104919,.918593,.904348,0,262485506,6574237,318438429,37342,ME,23,19
MAINE,2014,1.104919,.918593,.9232359999999999,0,268428636,6668882,318481078,36577,ME,23,19
MAINE,2015,1.104919,.918593,.938934,0,268906189,6668882,320954996,35445,ME,23,19
MAINE,2016,1.104919,.918593,.9554,0,280367199,9946460,306929919,34604,ME,23,19
MAINE,2017,1.104919,.918593,.97698,0,293936595,11266460,315836771,34287,ME,23,19
MAINE,2018,1.104919,.918593,1,0,297427970,9946460,334814789,33945,ME,23,19
MARYLAND,2010,1.224893,.971148,.854095,0,1543276838,78616554,1534937474,231188.76,MD,24,20
MARYLAND,2011,1.224893,.971148,.872126,0,1540413613,74347711,1648105024,238741.69,MD,24,20
MARYLAND,2012,1.224893,.971148,.888038,0,1551475938,73891134,1744255919,242955,MD,24,20
MARYLAND,2013,1.224893,.971148,.904348,0,1562585982,71535899,1774080144,238813.85,MD,24,20
MARYLAND,2014,1.224893,.971148,.9232359999999999,0,1660437817,87121556,1743565901,232934.64,MD,24,20
MARYLAND,2015,1.224893,.971148,.938934,0,1732663435,79025765,1805548949,233207.53,MD,24,20
MARYLAND,2016,1.224893,.971148,.9554,0,1808877067,73253904,1878577329,234124,MD,24,20
MARYLAND,2017,1.224893,.971148,.97698,0,1898764692,73112408,1929057457,232963,MD,24,20
MARYLAND,2018,1.224893,.971148,1,0,1921903072,79425777,1997878603,231777,MD,24,20
MASSACHUSETTS,2010,1.21812,.974056,.854095,230270707,1163385167,50250284,988836678,165244,MA,25,21
MASSACHUSETTS,2011,1.21812,.974056,.872126,76053721,1169733650,55144905,1066386188,168671,MA,25,21
MASSACHUSETTS,2012,1.21812,.974056,.888038,6841643,1165231136,56749751,947539477,170220.7,MA,25,21
MASSACHUSETTS,2013,1.21812,.974056,.904348,0,1212673382,59688822,1004739170,171974.4,MA,25,21
MASSACHUSETTS,2014,1.21812,.974056,.9232359999999999,0,1303221808,60618872,1021560487,172573.9,MA,25,21
MASSACHUSETTS,2015,1.21812,.974056,.938934,0,1426563697,61165000,1029492225,170703,MA,25,21
MASSACHUSETTS,2016,1.21812,.974056,.9554,0,1456951354,61776651,1071976171,169189,MA,25,21
MASSACHUSETTS,2017,1.21812,.974056,.97698,0,1500886789,60858808,1112534584,165736,MA,25,21
MASSACHUSETTS,2018,1.21812,.974056,1,0,1521946705,62647119,1273533820,163673,MA,25,21
MICHIGAN,2010,.866907,1.047482,.854095,68238000,1865681975,38551475,3835684550,434490,MI,26,22
MICHIGAN,2011,.866907,1.047482,.872126,0,1827793875,46761275,4077480978,435592,MI,26,22
MICHIGAN,2012,.866907,1.047482,.888038,0,1549564500,816000,4379900579,423785,MI,26,22
MICHIGAN,2013,.866907,1.047482,.904348,0,1608741048,884400,4522030281,411770,MI,26,22
MICHIGAN,2014,.866907,1.047482,.9232359999999999,0,1668950645,3760200,4655674286,400859,MI,26,22
MICHIGAN,2015,.866907,1.047482,.938934,0,1781575564,5199100,4815728676,390174,MI,26,22
MICHIGAN,2016,.866907,1.047482,.9554,0,1822394014,5225800,4961810558,380221,MI,26,22
MICHIGAN,2017,.866907,1.047482,.97698,0,1872904128,5207800,5149918765,378495,MI,26,22
MICHIGAN,2018,.866907,1.047482,1,0,1910547028,1560000,5317443025,372155,MI,26,22
MINNESOTA,2010,.965595,.983011,.854095,137943000,1490577000,111484000,1455113575,215009,MN,27,23
MINNESOTA,2011,.965595,.983011,.872126,0,1331928696,69341965,1573515354,214342,MN,27,23
MINNESOTA,2012,.965595,.983011,.888038,0,1227454984,86961374,1677759468,214653,MN,27,23
MINNESOTA,2013,.965595,.983011,.904348,0,1225408355,103949260,1661712699,210332,MN,27,23
MINNESOTA,2014,.965595,.983011,.9232359999999999,0,1329466162,110323525,1641731821,203523,MN,27,23
MINNESOTA,2015,.965595,.983011,.938934,0,1382469010,117311150,1609061220,198328,MN,27,23
MINNESOTA,2016,.965595,.983011,.9554,0,1468481298,109149366,1633436187,193197,MN,27,23
MINNESOTA,2017,.965595,.983011,.97698,0,1477815209,120117700,1638274845,189951,MN,27,23
MINNESOTA,2018,.965595,.983011,1,0,1584266688,125036905,1665500120,187705,MN,27,23
MISSISSIPPI,2010,.820465,.9706900000000001,.854095,63446024,1065505799,0,526819278,127025,MS,28,24
MISSISSIPPI,2011,.820465,.9706900000000001,.872126,86198888,1015227147,0,587935927,138859,MS,28,24
MISSISSIPPI,2012,.820465,.9706900000000001,.888038,0,949875161,0,637517566,137888,MS,28,24
MISSISSIPPI,2013,.820465,.9706900000000001,.904348,0,920702025,27115762,651695512,132114,MS,28,24
MISSISSIPPI,2014,.820465,.9706900000000001,.9232359999999999,0,968888056,30780027,686946035,130436,MS,28,24
MISSISSIPPI,2015,.820465,.9706900000000001,.938934,0,1003931102,35246901,710330675,129481,MS,28,24
MISSISSIPPI,2016,.820465,.9706900000000001,.9554,0,1033364037,37996719,745579757,128728,MS,28,24
MISSISSIPPI,2017,.820465,.9706900000000001,.97698,0,1008899619,34178613,784895485,130623,MS,28,24
MISSISSIPPI,2018,.820465,.9706900000000001,1,0,895772663,33472704,818640593,130279,MS,28,24
MISSOURI,2010,.864972,.982183,.854095,104786639,1038833630,51818252,774460266,191608,MO,29,25
MISSOURI,2011,.864972,.982183,.872126,41442153,969491861,59321648,936931726,197890,MO,29,25
MISSOURI,2012,.864972,.982183,.888038,0,901051554,64717024,1009363292,196360,MO,29,25
MISSOURI,2013,.864972,.982183,.904348,0,896505700,69528193,1032026271,196659,MO,29,25
MISSOURI,2014,.864972,.982183,.9232359999999999,0,920569646,73734947,1093890282,196831,MO,29,25
MISSOURI,2015,.864972,.982183,.938934,0,1008734682,88706610,1101696194,186936,MO,29,25
MISSOURI,2016,.864972,.982183,.9554,0,1010986768,95565951,1093528556,192781,MO,29,25
MISSOURI,2017,.864972,.982183,.97698,0,984574185,102390383,1010249623,195255,MO,29,25
MISSOURI,2018,.864972,.982183,1,0,965650901,98858973,1035531639,186862,MO,29,25
MONTANA,2010,.937536,.992045,.854095,37982860,209496709,5955446,196219494,38909,MT,30,26
MONTANA,2011,.937536,.992045,.872126,37166593,209541869,3689478,211982718,40961,MT,30,26
MONTANA,2012,.937536,.992045,.888038,0,202105316,3778367,220141468,40847,MT,30,26
MONTANA,2013,.937536,.992045,.904348,0,202187817,4695833,227989504,40169,MT,30,26
MONTANA,2014,.937536,.992045,.9232359999999999,0,226961354,5666898,234720480,39484,MT,30,26
MONTANA,2015,.937536,.992045,.938934,0,240959102,7138753,238375512,38732,MT,30,26
MONTANA,2016,.937536,.992045,.9554,0,249277353,2579041,239611642,37954,MT,30,26
MONTANA,2017,.937536,.992045,.97698,0,252366788,2600281,250730956,38076,MT,30,26
MONTANA,2018,.937536,.992045,1,0,243920115,1551748,255410545,37371,MT,30,26
NEBRASKA,2010,.907543,1.051128,.854095,0,638049796,0,297679299,83206,NE,31,27
NEBRASKA,2011,.907543,1.051128,.872126,0,650372687,0,396462082,84384,NE,31,27
NEBRASKA,2012,.907543,1.051128,.888038,0,647030417,0,423348141,83861,NE,31,27
NEBRASKA,2013,.907543,1.051128,.904348,0,654206731,0,436514927,81175,NE,31,27
NEBRASKA,2014,.907543,1.051128,.9232359999999999,0,682776789,0,453992591,79704,NE,31,27
NEBRASKA,2015,.907543,1.051128,.938934,0,711923094,0,451501597,78469,NE,31,27
NEBRASKA,2016,.907543,1.051128,.9554,0,742763046,0,473023335,76442,NE,31,27
NEBRASKA,2017,.907543,1.051128,.97698,0,749296246,0,494065643,76899,NE,31,27
NEBRASKA,2018,.907543,1.051128,1,0,741214494,0,509357498,76790,NE,31,27
NEVADA,2010,1.005263,.93409,.854095,184778622,581263909,0,193177180,68799,NV,32,28
NEVADA,2011,1.005263,.93409,.872126,0,550168604,0,215092101,69169,NV,32,28
NEVADA,2012,1.005263,.93409,.888038,0,473148326,0,233758774,65238,NV,32,28
NEVADA,2013,1.005263,.93409,.904348,0,472368017,0,242573993,65917,NV,32,28
NEVADA,2014,1.005263,.93409,.9232359999999999,0,485640591,0,252737535,64497,NV,32,28
NEVADA,2015,1.005263,.93409,.938934,0,487293554,0,268113800,66924,NV,32,28
NEVADA,2016,1.005263,.93409,.9554,0,538609215,0,285118748,68959,NV,32,28
NEVADA,2017,1.005263,.93409,.97698,0,570958220,0,299896975,69104,NV,32,28
NEVADA,2018,1.005263,.93409,1,0,622021005,0,307243293,70450,NV,32,28
NEW HAMPSHIRE,2010,1.157166,.944034,.854095,5727959,143249335,2699500,328746132,39171,NH,33,29
NEW HAMPSHIRE,2011,1.157166,.944034,.872126,0,136521244,2800000,356995679,39036,NH,33,29
NEW HAMPSHIRE,2012,1.157166,.944034,.888038,0,82697778,0,389877552,39099,NH,33,29
NEW HAMPSHIRE,2013,1.157166,.944034,.904348,0,85622352,0,416200931,39224,NH,33,29
NEW HAMPSHIRE,2014,1.157166,.944034,.9232359999999999,0,109000000,0,406697961,36988,NH,33,29
NEW HAMPSHIRE,2015,1.157166,.944034,.938934,0,123155000,0,423652408,38398,NH,33,29
NEW HAMPSHIRE,2016,1.157166,.944034,.9554,0,123921071,0,416814355,36640,NH,33,29
NEW HAMPSHIRE,2017,1.157166,.944034,.97698,0,125200059,0,420398363,38156,NH,33,29
NEW HAMPSHIRE,2018,1.157166,.944034,1,0,127935617,0,422238909,37643,NH,33,29
NEW JERSEY,2010,1.14362,.968166,.854095,73670000,1979696966,246808162,1959451758,268066,NJ,34,30
NEW JERSEY,2011,1.14362,.968166,.872126,0,1960435000,239656894,2169429461,277147,NJ,34,30
NEW JERSEY,2012,1.14362,.968166,.888038,0,1900811521,229420673,2277082291,278868,NJ,34,30
NEW JERSEY,2013,1.14362,.968166,.904348,0,1779147000,245820000,2321303085,276052,NJ,34,30
NEW JERSEY,2014,1.14362,.968166,.9232359999999999,0,1874118000,254536095,2540110583,274341,NJ,34,30
NEW JERSEY,2015,1.14362,.968166,.938934,0,1867900000,272494127,2722541708,270053,NJ,34,30
NEW JERSEY,2016,1.14362,.968166,.9554,0,1939445000,285473574,2753478506,268296,NJ,34,30
NEW JERSEY,2017,1.14362,.968166,.97698,0,1948118000,296867927,2836867677,266194,NJ,34,30
NEW JERSEY,2018,1.14362,.968166,1,0,1931091000,321829296,2772609945,264441,NJ,34,30
NEW MEXICO,2010,.936569,.999906,.854095,15538400,886090357,25794600,204037648,98709,NM,35,31
NEW MEXICO,2011,.936569,.999906,.872126,11887500,834429278,22856500,254426923,92078,NM,35,31
NEW MEXICO,2012,.936569,.999906,.888038,0,796688123,21884600,283802484,97719,NM,35,31
NEW MEXICO,2013,.936569,.999906,.904348,0,825131857,22126600,297947443,101239,NM,35,31
NEW MEXICO,2014,.936569,.999906,.9232359999999999,0,848583261,21976600,313140932,98630,NM,35,31
NEW MEXICO,2015,.936569,.999906,.938934,0,894514579,23421800,310508698,96110,NM,35,31
NEW MEXICO,2016,.936569,.999906,.9554,0,903894429,24334400,278989156,93379,NM,35,31
NEW MEXICO,2017,.936569,.999906,.97698,0,847386147,22903000,288823746,89020,NM,35,31
NEW MEXICO,2018,.936569,.999906,1,0,828781919,22193200,302890484,83746.5,NM,35,31
